노선번호,노선아이디,정류소아이디,정류소순번,정류소명,정류소번호,x,y
100출,204000083,205000003,12,신구대학, 06089,127.1679667,37.4469667
100출,204000083,205000168,13,신구대학.향군회관, 06082,127.166,37.4465667
100출,204000083,205000167,14,금광1.2동행정복지센터.중원어린이도서관, 06071,127.1634167,37.4458833
100출,204000083,205000166,15,단대쇼핑, 06056,127.1592,37.44495
100출,204000083,204000006,16,단대오거리역.세이브존, 05109,127.1553,37.44445
100출,204000083,204000005,17,성남우체국, 05097,127.15045,37.4421667
100출,204000083,204000268,18,신흥역.종합시장, 05241,127.1462,37.4406833
100출,204000083,204000119,19,성남시의료원.신흥1동행정복지센터, 05062,127.14005,37.4435
100출,204000083,204000096,20,성남시여성비전센터.성남수정새마을금고.한국사회적기업진흥원, 05080,127.1373667,37.4427167
100출,204000083,204000100,21,중앙시장, 05046,127.1340667,37.4417333
100출,204000083,204000099,22,통계청.태평역, 05039,127.1297667,37.4404667
100출,204000083,204000019,23,성남수정경찰서, 05033,127.12765,37.4418333
100출,204000083,204000022,24,수진리고개.태평고개, 05032,127.1272333,37.4446667
100출,204000083,204000021,25,가천대역.가천대학교, 05030,127.1269333,37.4489333
100출,204000083,204000020,26,복우물.웃말입구, 05031,127.1268167,37.4533167
100출,204000083,204000227,27,복정파출소.복정캠퍼스맛집거리, 05205,127.1266667,37.4555
100출,204000083,204000116,28,동서울대학교, 05141,127.1260833,37.4590333
100출,204000083,204000115,29,복정초등학교, 05142,127.1262167,37.4617833
100출,204000083,204000114,30,복정동행정복지센터, 05027,127.1266167,37.46625
100출,204000083,123000329,31,복정역2번출구,,127.1268667,37.4691667
100출,204000083,277104325,32,복정역교차로(경유),,127.1269667,37.4705833
100출,204000083,277104240,33,복정삼거리(경유),,127.1325,37.4682
100출,204000083,204000308,34,위례서일로마을입구, 05281,127.1367,37.4666333
100출,204000083,204000323,35,위례자이, 05307,127.13715,37.4703333
100출,204000083,204000326,36,위례센트럴자이, 05313,127.1373667,37.4733167
100출,204000083,123000630,37,위례포레샤인.위례31단지후문,,127.1339167,37.4748333
100출,204000083,123000645,38,위례31단지정문,,127.1323667,37.47265
100출,204000083,204000336,39,위례중앙초등학교.성남위례36단지, 05326,127.1340833,37.47115
100출,204000083,204000238,40,위례자이정문, 05309,127.1394833,37.4709333
100출,204000083,204000236,41,성남시위례동행정복지센터.위례아트리버푸르지오, 05176,127.1422833,37.4708167
100출,204000083,204000034,42,래미안위례.위례고운초등학교앞, 05081,127.1445333,37.4707333
100출,204000083,204000090,43,밀리토피아시티.위례역푸르지오, 05180,127.14405,37.46735
100출,204000083,204000330,44,남위례역.창곡교차로, 05320,127.1417667,37.4641667
100출,204000083,204000097,45,위례래미안이편한세상.힐스테이트위례, 05060,127.1442667,37.4671167
100출,204000083,204000093,46,래미안위례.위례고운초등학교앞, 05082,127.14365,37.4710333
100출,204000083,204000240,47,성남시위례동행정복지센터.위례보미리즌빌, 05069,127.1416333,37.4710833
100출,204000083,204000235,48,위례중앙중학교, 05308,127.1380167,37.4712333
100출,204000083,204000335,49,위례중앙초등학교.성남위례36단지, 05325,127.1342,37.47135
100출,204000083,123000644,50,위례31단지정문,,127.1326333,37.4735333
100출,204000083,123000631,51,위례31단지.위례포레샤인후문,,127.13365,37.4745833
100출,204000083,204000327,52,위례31단지, 05314,127.1368333,37.4730833
100출,204000083,204000322,53,위례자이, 05297,127.1367167,37.46995
100출,204000083,204000317,54,위례서일로마을입구, 05303,127.1361667,37.46665
100출,204000083,204000147,55,복정고등학교.복정지구, 05158,127.1352667,37.4658667
100출,204000083,123000316,56,복정역환승센터1번승강장,,127.1272167,37.4700333
100출,204000083,123000249,57,장지동, 92072,127.1263333,37.46915
100출,204000083,204000113,58,복정동행정복지센터, 05026,127.1260833,37.4661
100출,204000083,204000112,59,동서울대학교, 05025,127.1256,37.4604333
100출,204000083,204000253,60,복정파출소.복정캠퍼스맛집거리, 05170,127.1258667,37.4567333
100출,204000083,204000111,61,복우물.웃말입구, 05028,127.1262333,37.4541167
100출,204000083,204000110,62,가천대역.가천대학교, 05143,127.1263667,37.4497167
100출,204000083,204000023,63,수진리고개.태평고개, 05029,127.1267333,37.4443333
100출,204000083,204000086,64,통계청.태평역, 05038,127.12935,37.4400667
100출,204000083,204000085,65,중앙시장.농협, 05048,127.13425,37.4415
100출,204000083,204000263,66,성남시여성비전센터.삼성생명.한국사회적기업진흥원, 05236,127.1376667,37.4425333
100출,204000083,204000105,67,성남시의료원.신흥1동행정복지센터, 05061,127.1402167,37.4432833
100출,204000083,205000001,68,신흥역.종합시장, 06204,127.14655,37.4403667
100출,204000083,205000022,69,성남우체국, 06206,127.1507833,37.44185
100출,204000083,205000025,70,단대오거리역.(구)종점, 06208,127.1556833,37.4440333
100출,204000083,205000165,71,단대쇼핑, 06052,127.1589667,37.4448
100출,204000083,205000164,72,금광1.2동행정복지센터.중원어린이도서관, 06068,127.1626833,37.4453833
100출,204000083,205000163,73,신구대학.향군회관, 06081,127.1663333,37.4463667
100출,204000083,205000162,74,신구대학사거리, 06084,127.1675,37.4458
100출,204000083,205000108,75,선경아파트.성남중원경찰서, 06102,127.1701333,37.4417
100출,204000083,205000190,76,에스콰이어, 06171,127.17255,37.4393
100출,204000083,205000106,77,구공단파출소, 06122,127.1737833,37.4370167
100출,204000083,205000060,78,스타타워.동방렌탈, 06131,127.1762833,37.4343333
100출,204000083,205000059,79,보통골동양공업사, 06140,127.1789667,37.4351
100출,204000083,205000058,80,근로자종합복지관, 06138,127.1787667,37.4385333
100출,204000083,205000057,81,궁전아파트.성지아파트, 06143,127.1790167,37.4399
100출,204000083,205000030,82,자동차검사소.산성아파트, 06136,127.1783833,37.4416833
100출,204000083,205000186,83,차고지, 06172,127.1791167,37.4438833
101,228000179,206000040,1,오리역, 07058,127.1091833,37.3401167
101,228000179,206000219,2,하얀마을.구미도서관, 07060,127.1091667,37.3447167
101,228000179,206000088,3,까치마을.건영빌라.2001아울렛, 07332,127.1091333,37.3475167
101,228000179,206000267,4,미금역, 07079,127.1106167,37.3498833
101,228000179,206000328,5,대원사거리.까치마을, 07103,127.1160333,37.3517
101,228000179,206000327,6,더샵분당파크리버.헬스케어혁신파크, 07121,127.1182167,37.3542667
101,228000179,206000249,7,이마트, 07133,127.11925,37.3580167
101,228000179,206000039,8,이마트, 07140,127.12055,37.3591
101,228000179,206000038,9,분당중앙고등학교, 07153,127.1230667,37.35985
101,228000179,206000037,10,정든마을.우성아파트, 07154,127.1233167,37.3624
101,228000179,206000036,11,한솔마을청구아파트, 07163,127.1236167,37.3640667
101,228000179,206000035,12,동국대한방병원.수내고교, 07190,127.1269333,37.36665
101,228000179,206000034,13,푸른마을신성아파트, 07200,127.1284667,37.3683667
101,228000179,206000033,14,분당동행정복지센터, 07212,127.1307333,37.3702167
101,228000179,206000685,15,샛별마을동성아파트, 07807,127.1333333,37.3716
101,228000179,206000032,16,그린타운정문, 07229,127.13495,37.3727333
101,228000179,206000031,17,분당등기소, 07239,127.1368,37.3741167
101,228000179,206000030,18,임광아파트후문, 07251,127.1390167,37.3756833
101,228000179,206000029,19,임광아파트정문.효자촌입구.분당중앙교회, 07250,127.1388,37.37725
101,228000179,206000318,20,서현중학교, 07228,127.1342833,37.38125
101,228000179,206000438,21,양현보도육교, 07436,127.1300333,37.38415
101,228000179,206000316,22,이매촌한신.서현역.AK프라자, 07170,127.1246333,37.3884833
101,228000179,206000530,23,성남역.백현마을2단지, 07487,127.1182333,37.3921167
101,228000179,206000531,24,백현마을1단지, 07488,127.1145,37.3919667
101,228000179,206000635,25,판교역동편, 07576,127.1131833,37.3947833
101,228000179,206000680,26,판교역북편, 07075,127.1111667,37.3963
101,228000179,206000640,27,동안교, 07450,127.1098667,37.39725
101,228000179,206000730,28,엔씨소프트.안랩, 07630,127.10985,37.3995833
101,228000179,206000677,29,H스퀘어.삼환하이펙스, 07034,127.10985,37.4017833
101,228000179,206000564,30,봇들육교, 07510,127.1076667,37.4033667
101,228000179,206000540,31,삼평교, 07496,127.1047833,37.4041333
101,228000179,204000064,32,판교제2테크노밸리, 05002,127.0997333,37.4113333
101,228000179,204000200,33,나라기록관.코이카, 05182,127.1014167,37.41535
101,228000179,204000063,34,시흥사거리, 05009,127.1023167,37.4211167
101,228000179,204000337,35,고산근린공원, 05327,127.0995833,37.42575
101,228000179,204000265,36,연내울교차로, 05238,127.09405,37.4277667
101,228000179,204000296,37,왕남초교.호반써밋판교밸리아파트, 05269,127.0966667,37.4299667
101,228000179,204000298,38,고등마을아파트, 05271,127.09955,37.4302667
101,228000179,204000046,39,등자리, 05013,127.1037833,37.4352667
101,228000179,204000223,40,공군부대제2정문.면회실, 05199,127.1040167,37.43805
101,228000179,204000045,41,공군아파트, 05014,127.1043333,37.4465833
101,228000179,204000044,42,효성고등학교, 05017,127.10575,37.4498
