연도,월,시간,이용객수,순위,노선,노선아이디,기점,종점,배차간격(평일)(분),첫차시간,막차시간,,,,
2023,1,05시~06시,778,3,330,204000039,산성동,운중초등학교,10,0430,2200,,,,
2023,1,05시~06시,70,22,331,204000084,성남동대형주차장,고속철도수서역,18,0500,2200,,,,
2023,1,05시~06시,321,12,340,204000040,판교대장로동측,영원무역,17,0440,2200,,,,
2023,1,05시~06시,98,20,341,204000067,운중동먹거리촌,청계산입구역,17,0450,2200,,,,
2023,1,05시~06시,23,33,342,204000159,영원무역,청계산옛골,15,0500,2200,,,,
2023,1,05시~06시,514,6,350,204000044,상대원차고지,한국학중앙연구원,7,0500,2230,,,,
2023,1,05시~06시,108,19,357,204000007,상대원차고지,삼부아파트,15,0500,2230,,,,
2023,1,05시~06시,167,15,380,204000079,동분당더퍼스트정문,판교대장초·중학교,15,0450,2200,,,,
2023,1,05시~06시,36,28,382,204000076,성남동대형주차장,(임시)금토동삼거리,23,0500,2200,,,,
2023,1,05시~06시,127,17,390,204000051,사송동.종점,동백역.용인세브란스병원,15,0520,2300,,,,
2023,1,05시~06시,312,13,50,204000012,선경아파트,복정역환승센터1번승강장,7,0500,2230,,,,
2023,1,05시~06시,964,2,51,204000021,사기막골,서울대병원,5,0420,2200,,,,
2023,1,05시~06시,338,10,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,12,0430,2200,,,,
2023,1,05시~06시,323,11,57,204000005,선경아파트,세곡동사거리,6,0500,2230,,,,
2023,1,05시~06시,36,29,6,204000004,상대원차고지,남한산성입구.양지파출소,8,0530,2240,,,,
2023,1,05시~06시,131,16,60,204000013,차고지대기(경유),복정역환승센터1번승강장,15,0500,2200,,,,
2023,1,05시~06시,290,14,720-1A,204000151,오리역,남한산성입구.양지파출소,10,0500,2300,,,,
2023,1,05시~06시,415,8,33-1,204000019,산성동,청구아파트,14,0410,2200,,,,
2023,1,05시~06시,26,32,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,17,0530,2230,,,,
2023,1,05시~06시,126,18,누리2,204000146,사송동종점,국군수도병원,16,0630,2215,,,,
2023,1,05시~06시,42,27,누리3,204000147,뫼루니육교,럭키타운,17,0500,2200,,,,
2023,1,06시~07시,2408,1,3-1,205000003,광주차고지,사기막골,10,0440,2300,,,,
2023,1,06시~07시,91,30,101,228000179,오리역,수서역5번출구,15,0500,2210,,,,
2023,1,06시~07시,211,21,103,204000060,도촌동9단지앞,사당역(중),18,0500,2150,,,,
2023,1,06시~07시,73,33,200,204000029,도촌동행정복지센터,거여역5번출구,30,0500,2200,,,,
2023,1,06시~07시,907,5,220,204000022,영원무역,한국학중앙연구원,11,0430,2220,,,,
2023,1,06시~07시,223,20,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,15,0450,2220,,,,
2023,1,06시~07시,104,28,240,204000032,도촌동행정복지센터,남한산성입구,7,0500,2300,,,,
2023,1,06시~07시,739,10,250,204000048,도촌동행정복지센터,궁내동.궁안마을,12,0455,2230,,,,
2023,1,06시~07시,1229,3,300,206000003,오리역,은대미,5,0450,2330,,,,
2023,1,06시~07시,121,26,310,204000163,오리역,(임시)금토동삼거리,10,0500,2230,,,,
2023,1,06시~07시,170,23,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,12,0500,2200,,,,
2023,1,06시~07시,832,7,33,204000020,사기막골,율동공원,12,0420,2200,,,,
2023,1,06시~07시,753,8,330,204000039,산성동,운중초등학교,10,0430,2200,,,,
2023,1,06시~07시,170,24,331,204000084,성남동대형주차장,고속철도수서역,18,0500,2200,,,,
2023,1,06시~07시,286,15,340,204000040,판교대장로동측,영원무역,17,0440,2200,,,,
2023,1,06시~07시,230,19,341,204000067,운중동먹거리촌,청계산입구역,17,0450,2200,,,,
2023,1,06시~07시,93,29,342,204000159,영원무역,청계산옛골,15,0500,2200,,,,
2023,1,06시~07시,948,4,350,204000044,상대원차고지,한국학중앙연구원,7,0500,2230,,,,
2023,1,06시~07시,199,22,357,204000007,상대원차고지,삼부아파트,15,0500,2230,,,,
2023,1,06시~07시,12,37,370,204000131,고등마을아파트,백현동종점,25,0500,2200,,,,
2023,1,06시~07시,354,14,380,204000079,동분당더퍼스트정문,판교대장초·중학교,15,0450,2200,,,,
2023,1,06시~07시,60,34,382,204000076,성남동대형주차장,(임시)금토동삼거리,23,0500,2200,,,,
2023,1,06시~07시,238,18,390,204000051,사송동.종점,동백역.용인세브란스병원,15,0520,2300,,,,
2023,1,06시~07시,750,9,50,204000012,선경아파트,복정역환승센터1번승강장,7,0500,2230,,,,
2023,1,06시~07시,1464,2,51,204000021,사기막골,서울대병원,5,0420,2200,,,,
2023,1,06시~07시,457,12,55,204000017,(임시)금토동삼거리,남한산성입구.양지파출소,12,0430,2200,,,,
2023,1,06시~07시,880,6,57,204000005,선경아파트,세곡동사거리,6,0500,2230,,,,
2023,1,06시~07시,261,16,6,204000004,상대원차고지,남한산성입구.양지파출소,8,0530,2240,,,,
2023,1,06시~07시,150,25,60,204000013,차고지대기(경유),복정역환승센터1번승강장,15,0500,2200,,,,
2023,1,06시~07시,428,13,720-1A,204000151,오리역,남한산성입구.양지파출소,10,0500,2300,,,,
2023,1,06시~07시,46,36,810,204000174,그린빌리지,수진역.성호시장.성일중고입구,15,0600,2300,,,,
2023,1,06시~07시,76,32,811,204000173,도촌9단지후문,수진역.성호시장.성일중고입구,15,0600,2300,,,,
2023,1,06시~07시,712,11,33-1,204000019,산성동,청구아파트,14,0410,2200,,,,
2023,1,06시~07시,88,31,누리1,204000145,성남시장례문화사업소,쇳골마을.궁내동톨게이트,17,0530,2230,,,,
2023,1,06시~07시,250,17,누리2,204000146,사송동종점,국군수도병원,16,0630,2215,,,,
2023,1,06시~07시,114,27,누리3,204000147,뫼루니육교,럭키타운,17,0500,2200,,,,
2023,1,06시~07시,4,38,누리4,204000155,사송동.종점,동원동,18,0500,2200,,,,
2023,1,07시~08시,4752,1,3-1,205000003,광주차고지,사기막골,10,0440,2300,,,,
2023,1,07시~08시,351,27,101,228000179,오리역,수서역5번출구,15,0500,2210,,,,
2023,1,07시~08시,599,19,103,204000060,도촌동9단지앞,사당역(중),18,0500,2150,,,,
2023,1,07시~08시,83,35,200,204000029,도촌동행정복지센터,거여역5번출구,30,0500,2200,,,,
2023,1,07시~08시,1929,5,220,204000022,영원무역,한국학중앙연구원,11,0430,2220,,,,
2023,1,07시~08시,689,16,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,15,0450,2220,,,,
2023,1,07시~08시,284,30,240,204000032,도촌동행정복지센터,남한산성입구,7,0500,2300,,,,
2023,1,07시~08시,1237,10,250,204000048,도촌동행정복지센터,궁내동.궁안마을,12,0455,2230,,,,
2023,1,07시~08시,2252,4,300,206000003,오리역,은대미,5,0450,2330,,,,
2023,1,07시~08시,253,31,310,204000163,오리역,(임시)금토동삼거리,10,0500,2230,,,,
2023,1,07시~08시,521,21,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,12,0500,2200,,,,
2023,1,07시~08시,1628,8,33,204000020,사기막골,율동공원,12,0420,2200,,,,
2023,1,07시~08시,1255,9,330,204000039,산성동,운중초등학교,10,0430,2200,,,,
2023,1,07시~08시,408,25,331,204000084,성남동대형주차장,고속철도수서역,18,0500,2200,,,,
2023,1,07시~08시,668,17,340,204000040,판교대장로동측,영원무역,17,0440,2200,,,,
2023,1,07시~08시,517,22,341,204000067,운중동먹거리촌,청계산입구역,17,0450,2200,,,,
2023,1,07시~08시,301,28,342,204000159,영원무역,청계산옛골,15,0500,2200,,,,
