시/군/구,연도,월,노선,시종점,일시,시간,이용객수
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,09시~10시,2025
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,10시~11시,1656
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,11시~12시,1309
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,12시~13시,1647
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,13시~14시,1619
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,14시~15시,1722
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,15시~16시,1980
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,16시~17시,2292
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,17시~18시,2683
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,18시~19시,3356
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,19시~20시,2175
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,20시~21시,1533
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,21시~22시,1650
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,22시~23시,1292
성남시,2023,1,220,영원무역-운중동먹거리촌,평일,23시~24시,612
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,00시~01시,2
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,05시~06시,54
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,06시~07시,223
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,07시~08시,689
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,08시~09시,740
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,09시~10시,373
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,10시~11시,204
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,11시~12시,162
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,12시~13시,238
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,13시~14시,293
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,14시~15시,245
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,15시~16시,316
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,16시~17시,326
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,17시~18시,497
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,18시~19시,758
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,19시~20시,615
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,20시~21시,299
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,21시~22시,211
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,22시~23시,146
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,평일,23시~24시,42
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,00시~01시,3
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,05시~06시,58
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,06시~07시,104
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,07시~08시,284
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,08시~09시,421
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,09시~10시,277
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,10시~11시,260
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,11시~12시,253
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,12시~13시,291
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,13시~14시,354
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,14시~15시,354
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,15시~16시,403
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,16시~17시,402
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,17시~18시,430
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,18시~19시,532
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,19시~20시,322
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,20시~21시,238
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,21시~22시,176
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,22시~23시,167
성남시,2023,1,240,도촌동행정복지센터-남한산성입구,평일,23시~24시,75
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,04시~05시,15
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,05시~06시,542
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,06시~07시,739
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,07시~08시,1237
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,08시~09시,2086
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,09시~10시,1349
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,10시~11시,887
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,11시~12시,783
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,12시~13시,941
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,13시~14시,1046
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,14시~15시,1119
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,15시~16시,1292
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,16시~17시,1150
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,17시~18시,1401
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,18시~19시,1831
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,19시~20시,1559
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,20시~21시,1082
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,21시~22시,907
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,22시~23시,904
성남시,2023,1,250,도촌동행정복지센터-궁내동.궁안마을,평일,23시~24시,217
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,00시~01시,35
성남시,2023,1,3-1,광주차고지-사기막골,평일,00시~01시,35
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,04시~05시,51
성남시,2023,1,3-1,광주차고지-사기막골,평일,04시~05시,51
성남시,2023,1,3-1,센트럴타운3단지-AK플라자2층,평일,05시~06시,722
성남시,2023,1,3-1,광주차고지-사기막골,평일,05시~06시,722
