시/군/구,연도,월,노선,시종점,일시,시간,이용객수
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,11시~12시,1209
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,12시~13시,1551
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,13시~14시,1574
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,14시~15시,1456
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,15시~16시,1505
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,16시~17시,1543
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,17시~18시,1841
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,18시~19시,1558
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,19시~20시,966
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,20시~21시,949
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,21시~22시,891
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,22시~23시,977
성남시,2023,1,220,영원무역-운중동먹거리촌,주말,23시~24시,518
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,00시~01시,1
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,05시~06시,31
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,06시~07시,63
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,07시~08시,73
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,08시~09시,107
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,09시~10시,149
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,10시~11시,150
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,11시~12시,167
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,12시~13시,213
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,13시~14시,188
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,14시~15시,184
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,15시~16시,238
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,16시~17시,209
성남시,2023,1,231,기업성장센터-복정역환승센터1번승강장,주말,17시~18시,246
