노선번호,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명,x좌표,y좌표
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,서울,123000014,45,문정법조단지.건영아파트(중),,서울,127.1238,37.48315
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,서울,123000016,46,장지역.가든파이브(중),,서울,127.1254,37.4799833
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,서울,123000249,47,장지동,92072,서울,127.1263333,37.46915
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,204000113,48,복정동행정복지센터,05026,성남,127.1260833,37.4661
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,204000112,49,동서울대학교,05025,성남,127.1256,37.4604333
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,204000253,50,복정파출소.복정캠퍼스맛집거리,05170,성남,127.1258667,37.4567333
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,204000111,51,복우물.웃말입구,05028,성남,127.1262333,37.4541167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,204000110,52,가천대역.가천대학교,05143,성남,127.1263667,37.4497167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,204000109,53,태평고개,05034,성남,127.1281167,37.4442167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,204000191,54,태평초등학교,05175,성남,127.1315333,37.4452167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,204000108,55,태평3동행정복지센터,05144,성남,127.1331,37.4456833
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,204000107,56,태평오거리,05050,성남,127.1344333,37.4456167
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,204000106,57,중앙파출소,05053,성남,127.1356167,37.4431
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,204000263,58,성남시여성비전센터.삼성생명.한국사회적기업진흥원,05236,성남,127.1376667,37.4425333
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,204000105,59,성남시의료원.신흥1동행정복지센터,05061,성남,127.1402167,37.4432833
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000001,60,신흥역.종합시장,06204,성남,127.14655,37.4403667
100,사기막골,가락시장.가락시장역,204000018,13,일반형시내버스,성남,205000022,61,성남우체국,06206,성남,127.1507833,37.44185
