노선번호,기점,종점,노선아이디,노선번호,노선유형,노선유형명,지역명,,,
60,광주차고지,수원역.노보텔수원,234000316,60,13,일반형시내버스,"광주,성남,수원,용인",,,
700-2,오리역,수원대학교,234000021,700-2,13,일반형시내버스,"성남,수원,용인,화성",,,2
720-1,영통차고지대기(경유),성남역,234000024,720-1,13,일반형시내버스,"성남,수원,용인,화성",,,
720-2,경기고속차고지,백현마을8단지,234000026,720-2,13,일반형시내버스,"성남,수원,용인,화성",,,
820,명지대,정자역,228000012,820,13,일반형시내버스,"성남,용인",,,
9,사송동종점,중앙주차장,234000095,9,13,일반형시내버스,"광주,성남,하남",,,
3100,(임시)금토동삼거리,우림아파트,204000170,3100,11,직행좌석형시내버스,"광주,성남",,,
333,자동차검사소.산성아파트,안양역,205000002,333,11,직행좌석형시내버스,"성남,안양,의왕",,,
3330,도촌동9단지앞,안양역,204000057,3330,11,직행좌석형시내버스,"성남,안양,의왕",,,
3500,구미동차고지(경유),케피코경기외국어고등학교,234000051,3500,11,직행좌석형시내버스,"군포,성남,의왕",,,
4103,판교대장로동측,서울역버스환승센터(5번승강장)(중),204000172,4103,11,직행좌석형시내버스,"서울,성남",,,
4500,사송동종점,수원버스터미널,204000056,4500,11,직행좌석형시내버스,"성남,수원",,,
8109,오리역,킨텍스제2전시장,234001236,8109,11,직행좌석형시내버스,"고양,구리,남양주,성남,양주",,,
9000,성우스타우스,서울역버스환승센터(5번승강장)(중),234000002,9000,11,직행좌석형시내버스,"서울,성남",,,
Jan-00,단국대학교.죽전야외음악당.성현마을2단지,서울역버스환승센터(5번승강장)(중),234001574,Jan-00,11,직행좌석형시내버스,"서울,성남,용인",,,
9003,운중동먹거리촌,서울역버스환승센터(5번승강장)(중),204000046,9003,11,직행좌석형시내버스,"서울,성남",,,
9004,운중동먹거리촌,강남역티월드,204000041,9004,11,직행좌석형시내버스,"서울,성남",,,
9007,운중동먹거리촌,서울역버스환승센터(5번승강장)(중),204000070,9007,11,직행좌석형시내버스,"서울,성남",,,
9200,위례중학교.위례센트로엘,서울역버스환승센터(5번승강장)(중),204000141,9200,11,직행좌석형시내버스,"서울,성남,하남",,,
9300,도촌동9단지앞,서울역버스환승센터(5번승강장)(중),234000886,9300,11,직행좌석형시내버스,"서울,성남",,,
9400,자동차검사소.산성아파트,지하철2호선강남역(중),204000153,9400,11,직행좌석형시내버스,"서울,성남",,,
9407,구미동차고지앞,ST송은빌딩,204000024,9407,11,직행좌석형시내버스,"서울,성남",,,
9507,판교대장로동측,청담초등학교앞,204000059,9507,11,직행좌석형시내버스,"서울,성남",,,
9607,성우스타우스,청담초등학교앞,204000065,9607,11,직행좌석형시내버스,"서울,성남",,,
9800,영원무역,지하철2호선강남역(중),204000156,9800,11,직행좌석형시내버스,"서울,성남",,,
G8110,오리역,국가인권위.안중근활동터(중),204000082,G8110,11,직행좌석형시내버스,"서울,성남",,,
1005,외국어대학교,신분당선강남역(중),234000065,1005,11,직행좌석형시내버스,"광주,서울,성남,용인",,,
1007,수원대학교,잠실광역환승센터,234000015,1007,11,직행좌석형시내버스,"서울,성남,수원,화성",,,
1007-1,영통차고지대기(경유),잠실역.롯데월드,234000013,1007-1,11,직행좌석형시내버스,"서울,성남,수원,용인",,,
1009,수원대학교,잠실광역환승센터,234000310,1009,11,직행좌석형시내버스,"서울,성남,수원,의왕,화성",,,
102,단국대.치과병원,건대입구역1번출구,206000007,102,11,직행좌석형시내버스,"서울,성남,용인",,,
1101,단국대.치과병원,신분당선강남역(중),234000879,1101,11,직행좌석형시내버스,"서울,성남,용인",,,
1112,경희대차고지,테크노마트앞.강변역(C),234000016,1112,11,직행좌석형시내버스,"서울,성남,수원,용인",,,
1117,외국어대학교,테크노마트앞.강변역(C),234000069,1117,11,직행좌석형시내버스,"광주,서울,성남,용인",,,
1150,외국어대학교,서울역버스환승센터(5번승강장)(중),234000882,1150,11,직행좌석형시내버스,"광주,서울,성남,용인",,,
1151,오산리종점,신분당선강남역(중),204000081,1151,11,직행좌석형시내버스,"광주,서울,성남,용인",,,
1241,청덕중고교.지식산업센터,강남역티월드,228000181,1241,11,직행좌석형시내버스,"서울,성남,용인",,,
1303,외국어대학교,안양역,234000130,1303,11,직행좌석형시내버스,"광주,성남,안양,용인,의왕",,,
1311,한라.이림아파트,강남역도시에빛,234001251,1311,11,직행좌석형시내버스,"서울,오산",,,
1311B,한라.이림아파트,강남역도시에빛,234001691,1311B,11,직행좌석형시내버스,"서울,오산",,,
1500-2,에버랜드(승차홈),사당역3번출구,234000313,1500-2,11,직행좌석형시내버스,"광주,서울,성남,용인",,,
1550,광교차고지,지하철2호선강남역(중),234000136,1550,11,직행좌석형시내버스,"서울,수원,용인",,,
1550-1,한신대스쿨버스정류장,신논현역.금강빌딩,234000324,1550-1,11,직행좌석형시내버스,"서울,수원,오산,용인,화성",,,
1551,수원대학교,양재역.서초문화예술회관(중),234001138,1551,11,직행좌석형시내버스,"서울,화성",,,
1551B,수원대학교,강남역우리은행,234001290,1551B,11,직행좌석형시내버스,"서울,화성",,,
1552,한신대스쿨버스정류장,신분당선강남역(중),234001708,1552,11,직행좌석형시내버스,"서울,오산,화성",,,
1560A,경희대차고지(경유),신분당선강남역(중),234000884,1560A,11,직행좌석형시내버스,"서울,수원,용인",,,
1560B,경희대차고지(경유),신분당선강남역(중),228000433,1560B,11,직행좌석형시내버스,"서울,수원,용인",,,2
1570,광교차고지,신분당선강남역(중),234001271,1570,11,직행좌석형시내버스,"서울,수원,용인",,,2
1650,구리수택차고지,안양역,234000050,1650,11,직행좌석형시내버스,"구리,서울,성남,안양,의왕",,,
2007,오목천차고지(경유),단대오거리역.(구)종점,200000120,2007,11,직행좌석형시내버스,"성남,수원,의왕",,,
3000,미사강변호반써밋,금토천교,227000038,3000,11,직행좌석형시내버스,"성남,하남",,,
3002,수원남부버스공영차고지,강남역나라빌딩앞,200000145,3002,11,직행좌석형시내버스,"서울,수원,용인",,,
3007,수원버스터미널,강남역나라빌딩앞,200000110,3007,11,직행좌석형시내버스,"서울,수원",,,
3008,수원아이파크시티.선일초교,강남역나라빌딩앞,200000274,3008,11,직행좌석형시내버스,"서울,수원",,,
3103,본오동종점,나라기록관.코이카,216000107,3103,11,직행좌석형시내버스,"성남,안산,의왕",,,
3201,광주터미널,서울역버스환승센터(5번승강장)(중),234001694,3201,11,직행좌석형시내버스,"광주,서울",,,
3202,시흥공영차고지대기(경유),나라기록관.코이카,224000067,3202,11,직행좌석형시내버스,"성남,시흥,의왕",,,
3302,고산2통마을회관,잠실역.잠실대교남단(중),234001736,3302,11,직행좌석형시내버스,"광주,서울,성남",,,
3302,시흥능곡역2번출구,나라기록관.코이카,224000068,3302,11,직행좌석형시내버스,"성남,시흥,의왕",,,
3401,이천터미널,신분당선강남역(중),230000184,3401,11,직행좌석형시내버스,"서울,이천",,,
3402,이마트,나라기록관.코이카,224000069,3402,11,직행좌석형시내버스,"성남,시흥,의왕",,,
3800,관음3교,양재역.서초문화예술회관(중),234001705,3800,11,직행좌석형시내버스,"광주,서울",,,
