노선,시종점,,,,,,,,,노선번호,기점,종점,노선아이디
9000,성우스타우스-서울역버스환승센터(5번승강장)(중),,,,,,,,,,,,
9003,운중동먹거리촌-서울역버스환승센터(5번승강장)(중),,,,,,,,,,,,
9004,운중동먹거리촌-강남역티월드,,,,,,,,,,,,
9007,운중동먹거리촌-서울역버스환승센터(5번승강장)(중),,,,,,,,,,,,
9200,위례중학교.엠코타운센트로엘-서울역버스환승센터(5번승강장)(중),,,,,,,,,,,,
9300,도촌동9단지앞-서울역버스환승센터(5번승강장)(중),,,,,,,,,,,,
9400,자동차검사소.산성아파트-지하철2호선.강남역(중),,,,,,,,,,,,
9407,구미동차고지앞-엠네트음악방송국,,,,,,,,,,,,
9507,판교대장로동측-청담초등학교앞,,,,,,,,,,,,
9607,성우스타우스-청담초등학교앞,,,,,,,,,,,,
9800,영원무역-지하철2호선.강남역(중),,,,,,,,,,,,
Jan-33,산성동-청구아파트,,,,,,,,,Jan-33,산성동,청구아파트,204000019
Jan-73,산들마을아파트-이노밸리A동.오콘,,,,,,,,,,,,
Feb-73,산들마을아파트-기업성장센터,,,,,,,,,,,,
Jan-88,성남동대형주차장-영원무역,,,,,,,,,,,,
02월 01일,대광사입구-현대중공업R&D센터,,,,,,,,,,,,
03월 01일,광주차고지-사기막골,,,,,,,,,03월 01일,광주차고지,사기막골,205000003
03월 01일,센트럴타운3단지-AK플라자2층,,,,,,,,,,,,
03월 02일,AK플라자2층-요한성당,,,,,,,,,,,,
03월 03일,삼정아파트-파라다이스아파트앞,,,,,,,,,,,,
03월 04일,숭신여자중고교.래미안금광아파트-성남시의료원정문,,,,,,,,,,,,
03월 05일,벽산테크노피아.성남소각장-새마을금고,,,,,,,,,,,,
07월 01일,미금역3번출구(마을)-서울대병원,,,,,,,,,,,,
07월 02일,상대원1동행정복지센터-신흥역4번출구(마을),,,,,,,,,,,,
08월 01일,목련마을SK아파트(마을)-매화마을주공4단지,,,,,,,,,,,,
10월 01일,신흥역.종합시장(마을)-주공아파트계단,,,,,,,,,,,,
10월 02일,성남시의료원정문-은행2동행정복지센터,,,,,,,,,,,,
Jan-00,단국대학교.죽전야외음악당.성현마을2단지-서울역버스환승센터(5번승강장)(중),,,,,,,,,,,,
100출,산성역.포레스티아동문-남위례역.창곡교차로,,,,,,,,,100출,산성역.포레스티아동문,남위례역.창곡교차로,204000083
109-1,정자역(마을)-태재고개,,,,,,,,,,,,
111(맞춤형),정자역-KT(마을),,,,,,,,,,,,
602-1A,율동공원-실리콘파크.삼성중공업,,,,,,,,,,,,
602-1B,판교역서편-실리콘파크.삼성중공업,,,,,,,,,,,,
602-2B,판교역서편-판교세븐벤처밸리,,,,,,,,,,,,
720-1A,오리역-남한산성입구.양지파출소,,,,,,,,,720-1A,오리역,남한산성입구.양지파출소,204000151
G8110,오리역-서울백병원.국가인권위.안중근활동터(중),,,,,,,,,,,,
M4102,오리역-숭례문,,,,,,,,,,,,
누리1,성남시영생관리사업소-쇳골마을.궁내동톨게이트,,,,,,,,,누리1,성남시장례문화사업소,쇳골마을.궁내동톨게이트,204000145
누리2,사송동종점-국군수도병원,,,,,,,,,누리2,사송동종점,국군수도병원,204000146
누리3,차고지출발(경유)-럭키타운,,,,,,,,,누리3,뫼루니육교,럭키타운,204000147
누리4,사송동.종점-동원동,,,,,,,,,누리4,사송동.종점,동원동,204000155
반디1,오리역-복정역환승센터1번승강장,,,,,,,,,,,,
반디1-1,오리역-위례중앙중학교,,,,,,,,,,,,
반디2,오리역-남한산성입구,,,,,,,,,,,,
