연도,월,노선,노선아이디,기점,종점,일시,시간,이용객수,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,04시~05시,90,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,05시~06시,561,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,06시~07시,907,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,07시~08시,1929,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,08시~09시,3549,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,09시~10시,2025,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,10시~11시,1656,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,11시~12시,1309,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,12시~13시,1647,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,13시~14시,1619,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,14시~15시,1722,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,15시~16시,1980,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,16시~17시,2292,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,17시~18시,2683,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,18시~19시,3356,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,19시~20시,2175,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,20시~21시,1533,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,21시~22시,1650,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,22시~23시,1292,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,평일,23시~24시,612,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,00시~01시,2,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,05시~06시,54,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,06시~07시,223,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,07시~08시,689,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,08시~09시,740,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,09시~10시,373,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,10시~11시,204,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,11시~12시,162,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,12시~13시,238,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,13시~14시,293,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,14시~15시,245,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,15시~16시,316,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,16시~17시,326,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,17시~18시,497,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,18시~19시,758,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,19시~20시,615,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,20시~21시,299,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,21시~22시,211,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,22시~23시,146,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,평일,23시~24시,42,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,00시~01시,3,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,05시~06시,58,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,06시~07시,104,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,07시~08시,284,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,08시~09시,421,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,09시~10시,277,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,10시~11시,260,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,11시~12시,253,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,12시~13시,291,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,13시~14시,354,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,14시~15시,354,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,15시~16시,403,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,16시~17시,402,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,17시~18시,430,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,18시~19시,532,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,19시~20시,322,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,20시~21시,238,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,21시~22시,176,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,22시~23시,167,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,평일,23시~24시,75,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,04시~05시,15,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,05시~06시,542,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,06시~07시,739,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,07시~08시,1237,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,08시~09시,2086,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,09시~10시,1349,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,10시~11시,887,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,11시~12시,783,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,12시~13시,941,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,13시~14시,1046,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,14시~15시,1119,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,15시~16시,1292,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,16시~17시,1150,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,17시~18시,1401,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,18시~19시,1831,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,19시~20시,1559,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,20시~21시,1082,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,21시~22시,907,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,22시~23시,904,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,평일,23시~24시,217,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,00시~01시,35,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,00시~01시,35,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,04시~05시,51,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,04시~05시,51,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,05시~06시,722,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,05시~06시,722,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,06시~07시,1062,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,06시~07시,142,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,06시~07시,142,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,06시~07시,1062,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,07시~08시,2024,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,07시~08시,352,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,07시~08시,2024,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,07시~08시,352,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,08시~09시,2477,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,08시~09시,450,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,08시~09시,450,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,08시~09시,2477,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,09시~10시,313,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,09시~10시,1425,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,09시~10시,1425,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,09시~10시,313,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,10시~11시,242,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,10시~11시,242,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,10시~11시,1368,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,10시~11시,1368,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,11시~12시,241,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,11시~12시,1584,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,11시~12시,1584,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,11시~12시,241,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,12시~13시,319,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,12시~13시,319,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,12시~13시,1764,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,12시~13시,1764,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,13시~14시,1718,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,13시~14시,322,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,13시~14시,322,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,13시~14시,1718,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,14시~15시,1815,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,14시~15시,319,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,14시~15시,319,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,14시~15시,1815,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,15시~16시,247,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,15시~16시,1840,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,15시~16시,247,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,15시~16시,1840,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,16시~17시,1943,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,16시~17시,245,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,16시~17시,245,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,16시~17시,1943,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,17시~18시,408,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,17시~18시,408,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,17시~18시,2392,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,17시~18시,2392,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,18시~19시,2495,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,18시~19시,534,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,18시~19시,534,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,18시~19시,2495,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,19시~20시,1947,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,19시~20시,1947,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,19시~20시,322,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,19시~20시,322,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,20시~21시,316,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,20시~21시,316,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,20시~21시,1118,,,
2023,1,03월 01일,205000003,광주차고지,사기막골,평일,20시~21시,1118,,,
