연도,월,노선,노선아이디,기점,종점,일시,시간,이용객수,,,,,
2023,1,200,204000029,도촌동행정복지센터,거여역5번출구,주말,23시~24시,34,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,00시~01시,111,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,04시~05시,72,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,05시~06시,380,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,06시~07시,510,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,07시~08시,722,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,08시~09시,1171,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,09시~10시,1208,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,10시~11시,1188,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,11시~12시,1209,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,12시~13시,1551,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,13시~14시,1574,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,14시~15시,1456,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,15시~16시,1505,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,16시~17시,1543,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,17시~18시,1841,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,18시~19시,1558,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,19시~20시,966,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,20시~21시,949,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,21시~22시,891,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,22시~23시,977,,,,,
2023,1,220,204000022,영원무역,한국학중앙연구원,주말,23시~24시,518,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,00시~01시,1,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,05시~06시,31,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,06시~07시,63,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,07시~08시,73,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,08시~09시,107,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,09시~10시,149,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,10시~11시,150,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,11시~12시,167,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,12시~13시,213,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,13시~14시,188,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,14시~15시,184,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,15시~16시,238,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,16시~17시,209,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,17시~18시,246,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,18시~19시,211,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,19시~20시,125,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,20시~21시,127,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,21시~22시,95,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,22시~23시,79,,,,,
2023,1,231,204000139,(임시)금토동삼거리,복정역환승센터1번승강장,주말,23시~24시,17,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,05시~06시,46,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,06시~07시,102,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,07시~08시,123,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,08시~09시,186,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,09시~10시,181,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,10시~11시,256,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,11시~12시,279,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,12시~13시,251,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,13시~14시,255,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,14시~15시,312,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,15시~16시,303,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,16시~17시,378,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,17시~18시,294,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,18시~19시,270,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,19시~20시,236,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,20시~21시,184,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,21시~22시,175,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,22시~23시,137,,,,,
2023,1,240,204000032,도촌동행정복지센터,남한산성입구,주말,23시~24시,75,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,04시~05시,8,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,05시~06시,245,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,06시~07시,343,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,07시~08시,487,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,08시~09시,612,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,09시~10시,878,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,10시~11시,740,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,11시~12시,874,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,12시~13시,1013,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,13시~14시,983,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,14시~15시,906,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,15시~16시,863,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,16시~17시,1046,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,17시~18시,1072,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,18시~19시,1066,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,19시~20시,772,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,20시~21시,643,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,21시~22시,634,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,22시~23시,639,,,,,
2023,1,250,204000048,도촌동행정복지센터,궁내동.궁안마을,주말,23시~24시,153,,,,,
2023,1,300,206000003,오리역,은대미,주말,00시~01시,246,,,,,
2023,1,300,206000003,오리역,은대미,주말,04시~05시,8,,,,,
2023,1,300,206000003,오리역,은대미,주말,05시~06시,322,,,,,
2023,1,300,206000003,오리역,은대미,주말,06시~07시,798,,,,,
2023,1,300,206000003,오리역,은대미,주말,07시~08시,1016,,,,,
2023,1,300,206000003,오리역,은대미,주말,08시~09시,1376,,,,,
2023,1,300,206000003,오리역,은대미,주말,09시~10시,1745,,,,,
2023,1,300,206000003,오리역,은대미,주말,10시~11시,1678,,,,,
2023,1,300,206000003,오리역,은대미,주말,11시~12시,1843,,,,,
2023,1,300,206000003,오리역,은대미,주말,12시~13시,2174,,,,,
2023,1,300,206000003,오리역,은대미,주말,13시~14시,2216,,,,,
2023,1,300,206000003,오리역,은대미,주말,14시~15시,1914,,,,,
2023,1,300,206000003,오리역,은대미,주말,15시~16시,2162,,,,,
2023,1,300,206000003,오리역,은대미,주말,16시~17시,2242,,,,,
2023,1,300,206000003,오리역,은대미,주말,17시~18시,2275,,,,,
2023,1,300,206000003,오리역,은대미,주말,18시~19시,2183,,,,,
2023,1,300,206000003,오리역,은대미,주말,19시~20시,1447,,,,,
2023,1,300,206000003,오리역,은대미,주말,20시~21시,1258,,,,,
2023,1,300,206000003,오리역,은대미,주말,21시~22시,1300,,,,,
2023,1,300,206000003,오리역,은대미,주말,22시~23시,1232,,,,,
2023,1,300,206000003,오리역,은대미,주말,23시~24시,899,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,00시~01시,7,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,05시~06시,6,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,06시~07시,81,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,07시~08시,56,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,08시~09시,55,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,09시~10시,122,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,10시~11시,116,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,11시~12시,119,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,12시~13시,108,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,13시~14시,131,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,14시~15시,175,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,15시~16시,163,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,16시~17시,133,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,17시~18시,174,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,18시~19시,156,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,19시~20시,102,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,20시~21시,81,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,21시~22시,60,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,22시~23시,89,,,,,
2023,1,310,204000163,오리역,(임시)금토동삼거리,주말,23시~24시,45,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,05시~06시,35,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,06시~07시,56,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,07시~08시,81,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,08시~09시,202,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,09시~10시,164,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,10시~11시,164,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,11시~12시,197,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,12시~13시,127,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,13시~14시,110,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,14시~15시,138,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,15시~16시,133,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,16시~17시,208,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,17시~18시,135,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,18시~19시,174,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,19시~20시,91,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,20시~21시,122,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,21시~22시,100,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,22시~23시,106,,,,,
2023,1,315,204000073,(임시)금토동삼거리,복정역환승센터1번승강장,주말,23시~24시,27,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,00시~01시,35,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,04시~05시,71,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,05시~06시,297,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,06시~07시,353,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,07시~08시,454,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,08시~09시,733,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,09시~10시,792,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,10시~11시,731,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,11시~12시,752,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,12시~13시,907,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,13시~14시,850,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,14시~15시,943,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,15시~16시,875,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,16시~17시,1022,,,,,
2023,1,33,204000020,사기막골,율동공원,주말,17시~18시,1189,,,,,
