노선번호,기점,종점,노선아이디,노선번호,노선유형,노선유형명,지역명
341,운중동먹거리촌,청계산입구역,204000067,341,13,일반형시내버스,"서울,성남"
342,영원무역,청계산옛골,204000159,342,13,일반형시내버스,성남
350,상대원차고지,한국학중앙연구원,204000044,350,13,일반형시내버스,성남
350,상대원차고지,한국학중앙연구원,217000012,350,13,일반형시내버스,"시흥,안산,안양"
3500,오리역,케피코경기외국어고등학교,224000054,3500,11,직행좌석형시내버스,"서울,시흥"
3500,오리역,케피코경기외국어고등학교,236000176,3500,11,직행좌석형시내버스,"서울,의정부,포천"
3500,오리역,케피코경기외국어고등학교,234000051,3500,11,직행좌석형시내버스,"군포,성남,의왕"
351,구미동차고지앞,(임시)금토동삼거리,204000182,351,13,일반형시내버스,성남
357,상대원차고지,삼부아파트,204000007,357,13,일반형시내버스,"서울,성남"
370,고등마을아파트,백현동종점,231000005,370,13,일반형시내버스,"안성,평택"
370,고등마을아파트,백현동종점,204000131,370,13,일반형시내버스,성남
375,사송동종점,운중고등학교,204000181,375,13,일반형시내버스,성남
380,동분당더퍼스트정문,판교대장초·중학교,231000118,380,13,일반형시내버스,"안성,평택"
380,동분당더퍼스트정문,판교대장초·중학교,204000079,380,13,일반형시내버스,성남
382,성남동대형주차장,(임시)금토동삼거리,204000076,382,13,일반형시내버스,성남
390,사송동.종점,동백역.용인세브란스병원,204000051,390,13,일반형시내버스,"성남,용인"
4103,판교대장로동측,서울역버스환승센터(5번승강장)(중),204000172,4103,11,직행좌석형시내버스,"서울,성남"
4500,사송동종점,수원버스터미널,204000056,4500,11,직행좌석형시내버스,"성남,수원"
50,선경아파트,복정역환승센터1번승강장,204000012,50,13,일반형시내버스,"서울,성남"
50,선경아파트,복정역환승센터1번승강장,215000004,50,13,일반형시내버스,"동두천,포천"
50,선경아파트,복정역환승센터1번승강장,218000145,50,13,일반형시내버스,고양
50,선경아파트,복정역환승센터1번승강장,216000075,50,13,일반형시내버스,"광명,시흥,안산,안양"
50,선경아파트,복정역환승센터1번승강장,210000001,50,13,일반형시내버스,"부천,서울"
50,선경아파트,복정역환승센터1번승강장,241461006,50,30,마을버스,"김포,인천"
50,선경아파트,복정역환승센터1번승강장,241412003,50,30,마을버스,"남양주,하남"
50,선경아파트,복정역환승센터1번승강장,241422012,50,30,마을버스,"성남,용인"
50,선경아파트,복정역환승센터1번승강장,241206002,50,30,마을버스,양주
50,선경아파트,복정역환승센터1번승강장,241205012,50,30,마을버스,화성
51,사기막골,서울대병원,204000021,51,13,일반형시내버스,성남
51,사기막골,서울대병원,222000050,51,13,일반형시내버스,"구리,남양주,서울"
51,사기막골,서울대병원,208000017,51,13,일반형시내버스,"서울,안양,의왕"
51,사기막골,서울대병원,216000090,51,13,일반형시내버스,안산
51,사기막골,서울대병원,241425003,51,30,마을버스,용인
51,사기막골,서울대병원,241281001,51,30,마을버스,부천
51,사기막골,서울대병원,241461009,51,30,마을버스,김포
51,사기막골,서울대병원,241206003,51,30,마을버스,양주
55,(임시)금토동삼거리,남한산성입구.양지파출소,222000023,55,13,일반형시내버스,남양주
55,(임시)금토동삼거리,남한산성입구.양지파출소,204000017,55,13,일반형시내버스,성남
55,(임시)금토동삼거리,남한산성입구.양지파출소,208000065,55,13,일반형시내버스,"군포,안양"
55,(임시)금토동삼거리,남한산성입구.양지파출소,210000004,55,13,일반형시내버스,부천
55,(임시)금토동삼거리,남한산성입구.양지파출소,219000008,55,13,일반형시내버스,고양
55,(임시)금토동삼거리,남한산성입구.양지파출소,236000013,55,13,일반형시내버스,포천
55,(임시)금토동삼거리,남한산성입구.양지파출소,216000011,55,13,일반형시내버스,"시흥,안산"
