노선번호_x,기점,종점,노선아이디,노선유형,노선유형명,지역명,정류소아이디,정류소순번,정류소명,정류소번호,지역명.1,x좌표,y좌표,,,,,i,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000044,34,금광시장.삼익아파트,6061,성남,127.1607,37.4504,,,,,,,,204000019,33-1(일),100출,204000083
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000043,35,은행동현대아파트,6072,성남,127.1640333,37.4504,,,,,,,,204000151,720-1A,720-1A,204000151
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000042,36,메디칼약국,6080,성남,127.1664167,37.4509,,,,,,,,204000145,누리1,누리1,204000145
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000041,37,생문약국,6086,성남,127.1676833,37.4512,,,,,,,,204000146,누리2,누리2,204000146
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000040,38,은행1동행정복지센터,6096,성남,127.1689667,37.4514667,,,,,,,,204000147,누리3,누리3,204000147
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000039,39,태영빌라,6105,성남,127.1704333,37.4517667,,,,,,,,204000155,누리4,누리4,204000155
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000192,40,그린빌리지,6174,성남,127.1718167,37.4524,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000101,41,황송터널.은행1동,6118,성남,127.1736,37.4522,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000241,42,산성아파트,6352,성남,127.179,37.4420833,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000038,43,궁전아파트.성지아파트,6146,성남,127.17875,37.4397167,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000037,44,근로자종합복지관,6139,성남,127.1785167,37.4383167,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000134,45,보통골동양공업사,6142,성남,127.1787833,37.4346667,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000133,46,스타타워.동방렌탈,6132,성남,127.1763167,37.4345,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000132,47,공단오거리.공단주유소,6115,성남,127.1734833,37.4345333,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000131,48,고려당사거리,6109,성남,127.1713833,37.43375,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000130,49,공단본부.샤니,6093,성남,127.1687,37.43275,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000089,50,상대원파출소.소방소,6091,성남,127.1684167,37.4318167,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000088,51,공단본부입구.반포산업사거리,6126,성남,127.1734333,37.4310667,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000087,52,벽산테크노피아.성남소각장,6133,성남,127.1771833,37.4312833,,,,,,,,,,,
6,상대원차고지,남한산성입구.양지파출소,204000004,13,일반형시내버스,성남,205000234,53,상대원차고지,6218,성남,127.1791667,37.4355333,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000167,1,선경아파트,7389,성남,127.1557,37.4055,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000166,2,테크노파크.아파트동,7291,성남,127.1514167,37.4049833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000072,3,상탑파출소,7289,성남,127.1486667,37.4055167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000165,4,대원빌라,7287,성남,127.1479333,37.4066,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000164,5,상탑초등학교.성남시한마음복지관,7278,성남,127.1449,37.4074667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000163,6,성남세관.시니어산업혁신센터,7269,성남,127.1424,37.4084167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000162,7,건영빌라,7257,성남,127.14,37.4092833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000161,8,동신빌라.하탑중학교,7249,성남,127.13835,37.4096167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000160,9,탑마을주공8단지,7326,성남,127.1348333,37.4096667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000159,10,돌마초교.야탑역.야탑1동행정복지센터,7206,성남,127.13005,37.4099667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,206000158,11,야탑역.종합버스터미널(후면),7203,성남,127.1289667,37.4117,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000029,12,성남시청전면,6004,성남,127.12905,37.4193833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,277102644,13,성남대로(경유),,성남,127.1289667,37.4242667,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000018,14,성남동성당,6008,성남,127.1315833,37.4289333,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000070,15,중원구청,6012,성남,127.1360667,37.4292167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000017,16,제일아파트.현대아파트.중원도서관,6161,성남,127.1393167,37.4292333,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000264,17,하대원시장,6005,성남,127.1427667,37.4279,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000016,18,영성중학교.하대원동행정복지센터,6025,성남,127.14545,37.4282,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000015,19,아튼빌후문.성남테크노과학고,6030,성남,127.1486833,37.429,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000014,20,아튼빌아파트.중원청소년수련관,6038,성남,127.1522667,37.4299,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000013,21,대상델리하임,6046,성남,127.15775,37.4320833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000012,22,우리은행앞,6057,성남,127.1589667,37.43435,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000127,23,상대원시장,6048,성남,127.1582667,37.4356167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000011,24,상대원시장.새마을금고,6053,성남,127.1589833,37.4370167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000010,25,현성아름빌아파트,6065,성남,127.1611833,37.4389833,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000009,26,대일초교.학년쇼핑,6069,성남,127.1630333,37.4407167,,,,,,,,,,,
57,선경아파트,세곡동사거리,204000005,13,일반형시내버스,성남,205000008,27,구서고.금상초교,6076,성남,127.1658,37.4423167,,,,,,,,,,,
