연도,관할지역,버스유형,정류소ID,정류소번호,정류소명,통과노선수,정류소아이디,정류소명2,정류소번호2,x좌표,y좌표,행정동,정류장명,상세위치,시내버스_경유노선번호,시외버스_경유노선번호
2023,성남시,일반,204000294,5267,봉화터.군부대앞,1,204000294,봉화터.군부대앞,5267,127.078,37.4197167,시흥동,봉화터.군부대앞,부대앞,누리2(시내),해당없음
2023,성남시,일반,206000384,7405,서현도서관,1,206000384,서현도서관,7405,127.1325667,37.38325,서현1동,서현도서관,서현도서관앞,누리2(시내),해당없음
2023,성남시,일반,206000424,7396,서당초등학교.삼환상가앞,1,206000424,서당초등학교.삼환상가앞,7396,127.13555,37.3746167,서현2동,서당초등학교.삼환상가앞,서당초교앞,"3(마을),3-2(마을),520(시내)",해당없음
2023,성남시,일반,206000530,7487,백현마을2단지,19,206000530,성남역.백현마을2단지,7487,127.1182333,37.3921167,백현동,백현마을2단지,판교휴먼시아2단지A,"1151(시내),4000(시내),3500(시내),3330(시내),9401(서울),1150(시내),9000(시내),521(시내),310(시내),1500-2(시내),55(시내),3(마을),602(마을),380(시내),370(시내),누리1(시내),32(마을),75(마을),누리3(시내),7007-1(시내),101(시내)",해당없음
2023,성남시,일반,205000129,6075,상대원1동행정복지센터,14,205000129,상대원1동행정복지센터,6075,127.1649167,37.433,상대원1동,상대원1동행정복지센터,상대원1동주민센터앞,"220(시내),31-3(시내),100(시내),357(시내),55(시내),9400(시내),3-5(마을),3-3(마을),303(서울),4425(서울),302(서울),31-2(시내),3-1(시내),350(시내),382(시내)",해당없음
2023,성남시,일반,206000901,7779,늘푸른고등학교,1,206000901,늘푸른고등학교,7779,127.1053,37.3723167,정자1동,늘푸른고등학교,늘푸른고등학교건너,"누리4(시내),2(마을),105(마을),66(마을),2-1(마을)",해당없음
2023,성남시,일반,206000915,7800,한양아파트정문,1,206000915,한양아파트정문,7800,127.1278833,37.3796,서현1동,한양아파트정문,현대아파트429동 앞,"520(시내),3-1(마을)",해당없음
2023,성남시,일반,205000110,6054,금광시장,9,205000110,금광시장,6054,127.1593,37.44975,금광2동,금광시장,삼천리자전거,"342(시내),810(시내),720-1A(시내),452(서울),51(시내),240(시내),333(시내),33(시내),10-2(마을),10-1(마을),10(마을),30(시내)",해당없음
2023,성남시,일반,206000630,7572,신백현초등학교,3,206000630,신백현초등학교,7572,127.1132167,37.38705,백현동,신백현초등학교,신백현초등학교건너,"1101N(시내),390(시내),1101(시내),66(마을)",해당없음
2023,성남시,일반,206000636,7580,판교호반써밋플레이스,6,206000636,판교호반써밋플레이스,7580,127.1131333,37.3979833,삼평동,판교호반써밋플레이스,휴먼시아엔파봇들마을7단지A,"누리2(시내),4000(시내),55(시내),370(시내),310(시내)",해당없음
2023,성남시,일반,204000046,5013,등자리,13,204000046,등자리,5013,127.1037833,37.4352667,고등동,등자리,등자리입구건너,"1007-1(시내),1009(시내),5600(시내),101(시내),57(시내),5700B(시내),1007(시내),357(시내),6900(시내),9408(서울),231(시내),5700A(시내)",해당없음
2023,성남시,일반,204000205,5185,판교신미주아파트.봇들3단지,11,204000205,판교신미주아파트.봇들3단지,5185,127.1154833,37.4041333,시흥동,판교신미주아파트.봇들3단지,롯데리아앞,"누리4(시내),390(시내),380(시내),4500(시내),315(시내),82(마을),73-2(마을),382(시내),73-1(마을),3000(시내),9507(시내),350(시내),357(시내),330(시내)",해당없음
2023,성남시,일반,205000013,6046,성남냉동,12,205000013,대상델리하임,6046,127.15775,37.4320833,하대원동,성남냉동,성남냉동,"57(시내),55(시내),60(시내),3-3(마을),9400(시내),302(서울),31-2(시내),811(시내),9800(시내),357(시내),350(시내),31-3(시내)",해당없음
2023,성남시,일반,206000648,7593,경남아너스빌.서판교성당,6,206000648,경남아너스빌.서판교성당,7593,127.0744,37.3839,운중동,경남아너스빌.서판교성당,경남아너스빌A건너,"340(시내),73(마을),32(마을),9409(서울),9507(시내),4103(시내),310(시내)",해당없음
2023,성남시,일반,206000657,7582,한빛교회.월든힐스아파트,7,206000657,한빛교회.월든힐스아파트,7582,127.0641,37.3921333,운중동,한빛교회.월든힐스아파트,한빛교회 ,"350(시내),9004(시내),341(시내),103(시내),9007(시내),9003(시내),220(시내)",5000판교-인.공(시외)
2023,성남시,일반,206000689,7613,송림중고.돌마고교,1,206000689,송림중고.돌마고교,7613,127.1317833,37.3927167,이매1동,송림중고.돌마고교,송림중고.돌마고교,누리3(시내),해당없음
2023,성남시,일반,204000193,5201,웃논골,4,204000193,웃논골,5201,127.1661167,37.4693333,복정동,웃논골,남한산성 올라가는길,"9-1(시내),52(시내),53(시내),9(시내)",해당없음
2023,성남시,일반,206000650,7595,태영데시앙,6,206000650,태영데시앙,7595,127.0744,37.38675,운중동,태영데시앙,휴먼시아태영데시앙앞,"73(마을),32(마을),310(시내),4103(시내),9507(시내),340(시내)",해당없음
2023,성남시,일반,206000649,7592,태영데시앙,6,206000649,태영데시앙,7592,127.0745667,37.3864167,운중동,태영데시앙,휴먼시아태영데시앙건너,"9409(서울),4103(시내),32(마을),340(시내),310(시내),73(마을),9507(시내)",해당없음
2023,성남시,일반,206000678,7479,H스퀘어.삼환하이펙스,4,206000678,H스퀘어.삼환하이펙스,7479,127.10945,37.40185,삼평동,H스퀘어.삼환하이펙스,하이펙스,"101(시내),602-2B(마을),602-1B(마을),602-1A(마을),66(마을),71(마을),73(마을),82(마을),390(시내),9007(시내),3100(시내)",해당없음
2023,성남시,일반,206000685,7807,샛별마을동성아파트,3,206000685,샛별마을동성아파트,7807,127.1333333,37.3716,분당동,샛별마을동성아파트,샛별마을동성아파트 건너,"17(시내),109-1(마을),33(시내),101(시내)",해당없음
2023,성남시,일반,206000688,7614,이매역3번출구,1,206000688,이매역3번출구,7614,127.12885,37.3941667,이매1동,이매역3번출구,이매역3번출구,누리3(시내),해당없음
2023,성남시,일반,205000057,6143,궁전아파트.성지아파트,10,205000057,궁전아파트.성지아파트,6143,127.1790167,37.4399,상대원1동,궁전아파트.성지아파트,궁전아파트앞,"220(시내),55(시내),100(시내),6(시내),33(시내),9400(시내),100출(시내),340(시내),3-1(시내)",해당없음
2023,성남시,일반,205000051,6062,금광시장.삼익아파트,5,205000051,금광시장.삼익아파트,6062,127.161,37.45045,금광2동,금광시장.삼익아파트,삼익아파트건너,"33-1(시내),810(시내),55(시내),33(시내),6(시내)",해당없음
2023,성남시,일반,205000046,6215,을지대학교.생활관,10,205000046,을지대학교.생활관,6215,127.1679667,37.46145,은행2동,을지대학교.생활관,을지대학교 건너,"88-1(마을),88(마을),33-1(시내),51(시내),720-1A(시내),240(시내),6(시내),55(시내),452(서울),333(시내),9(시내),30(시내)",해당없음
2023,성남시,일반,205000055,6095,은행1동행정복지센터,2,205000055,은행1동행정복지센터,6095,127.1687667,37.4515833,금광2동,은행1동행정복지센터,한국유통앞,"810(시내),6(시내)",해당없음
2023,성남시,일반,206000762,7179,이매촌안말초교.성지아파트,3,206000762,이매촌안말초교.성지아파트,7179,127.12525,37.3940167,이매1동,이매촌안말초교.성지아파트,성지아파트702동 건너,"3-1(마을),9407(시내),55(시내),33(시내)",해당없음
