노선번호,기점,종점,노선아이디,지역명,노선유형명
380,동분당더퍼스트정문,판교대장초·중학교,204000079,성남,일반형시내버스
382,성남동대형주차장,(임시)금토동삼거리,204000076,성남,일반형시내버스
390,사송동.종점,동백역.용인세브란스병원,204000051,"성남,용인",일반형시내버스
50,선경아파트,복정역환승센터1번승강장,204000012,"서울,성남",일반형시내버스
50,선경아파트,복정역환승센터1번승강장,210000001,"부천,서울",일반형시내버스
50,선경아파트,복정역환승센터1번승강장,218000145,고양,일반형시내버스
50,선경아파트,복정역환승센터1번승강장,216000075,"광명,시흥,안산,안양",일반형시내버스
50,선경아파트,복정역환승센터1번승강장,215000004,"동두천,포천",일반형시내버스
50,선경아파트,복정역환승센터1번승강장,241461006,"김포,인천",마을버스
50,선경아파트,복정역환승센터1번승강장,241205012,화성,마을버스
50,선경아파트,복정역환승센터1번승강장,241412003,"남양주,하남",마을버스
50,선경아파트,복정역환승센터1번승강장,241206002,양주,마을버스
50,선경아파트,복정역환승센터1번승강장,241422012,"성남,용인",마을버스
51,사기막골,서울대병원,208000017,"서울,안양,의왕",일반형시내버스
51,사기막골,서울대병원,204000021,성남,일반형시내버스
51,사기막골,서울대병원,222000050,"구리,남양주,서울",일반형시내버스
51,사기막골,서울대병원,216000090,안산,일반형시내버스
51,사기막골,서울대병원,241425003,용인,마을버스
51,사기막골,서울대병원,241281001,부천,마을버스
51,사기막골,서울대병원,241461009,김포,마을버스
51,사기막골,서울대병원,241206003,양주,마을버스
55,(임시)금토동삼거리,남한산성입구.양지파출소,204000017,성남,일반형시내버스
55,(임시)금토동삼거리,남한산성입구.양지파출소,208000065,"군포,안양",일반형시내버스
55,(임시)금토동삼거리,남한산성입구.양지파출소,236000013,포천,일반형시내버스
55,(임시)금토동삼거리,남한산성입구.양지파출소,228000286,"수원,용인",일반형시내버스
55,(임시)금토동삼거리,남한산성입구.양지파출소,210000004,부천,일반형시내버스
55,(임시)금토동삼거리,남한산성입구.양지파출소,222000023,남양주,일반형시내버스
55,(임시)금토동삼거리,남한산성입구.양지파출소,219000008,고양,일반형시내버스
55,(임시)금토동삼거리,남한산성입구.양지파출소,216000011,"시흥,안산",일반형시내버스
55,(임시)금토동삼거리,남한산성입구.양지파출소,241363001,"오산,화성",마을버스
55,(임시)금토동삼거리,남한산성입구.양지파출소,241284001,평택,마을버스
55,(임시)금토동삼거리,남한산성입구.양지파출소,241275002,김포,마을버스
55,(임시)금토동삼거리,남한산성입구.양지파출소,241425013,"수원,용인",마을버스
57,선경아파트,세곡동사거리,236000046,"동두천,연천,포천",일반형시내버스
57,선경아파트,세곡동사거리,210000040,"부천,서울",일반형시내버스
57,선경아파트,세곡동사거리,204000005,"서울,성남",일반형시내버스
57,선경아파트,세곡동사거리,241423006,"광주,용인",마을버스
6,상대원차고지,남한산성입구.양지파출소,228000168,"안성,용인",일반형시내버스
6,상대원차고지,남한산성입구.양지파출소,210000019,부천,일반형시내버스
6,상대원차고지,남한산성입구.양지파출소,216000077,안산,일반형시내버스
6,상대원차고지,남한산성입구.양지파출소,222000029,남양주,일반형시내버스
6,상대원차고지,남한산성입구.양지파출소,220000012,"과천,서울",일반형시내버스
6,상대원차고지,남한산성입구.양지파출소,215000226,동두천,일반형시내버스
6,상대원차고지,남한산성입구.양지파출소,204000004,성남,일반형시내버스
6,상대원차고지,남한산성입구.양지파출소,208000013,"안양,의왕",일반형시내버스
6,상대원차고지,남한산성입구.양지파출소,236000238,포천,일반형시내버스
6,상대원차고지,남한산성입구.양지파출소,234001611,이천,일반형시내버스
6,상대원차고지,남한산성입구.양지파출소,233000040,화성,일반형시내버스
6,상대원차고지,남한산성입구.양지파출소,240000016,양평,일반형농어촌버스
6,상대원차고지,남한산성입구.양지파출소,241374008,시흥,마을버스
6,상대원차고지,남한산성입구.양지파출소,241382003,군포,마을버스
6,상대원차고지,남한산성입구.양지파출소,241283001,"오산,평택",마을버스
6,상대원차고지,남한산성입구.양지파출소,241251001,"안양,의왕",마을버스
6,상대원차고지,남한산성입구.양지파출소,241318003,화성,마을버스
6,상대원차고지,남한산성입구.양지파출소,241338001,구리,마을버스
6,상대원차고지,남한산성입구.양지파출소,241201005,수원,마을버스
60,선경아파트,복정역환승센터1번승강장,224000058,시흥,일반형시내버스
60,선경아파트,복정역환승센터1번승강장,223000148,"오산,화성",일반형시내버스
60,선경아파트,복정역환승센터1번승강장,215000052,동두천,일반형시내버스
60,선경아파트,복정역환승센터1번승강장,210000043,부천,일반형시내버스
60,선경아파트,복정역환승센터1번승강장,218000107,고양,일반형시내버스
60,선경아파트,복정역환승센터1번승강장,204000013,"서울,성남",일반형시내버스
60,선경아파트,복정역환승센터1번승강장,208000018,"군포,안양",일반형시내버스
60,선경아파트,복정역환승센터1번승강장,236000039,포천,일반형시내버스
60,선경아파트,복정역환승센터1번승강장,232000017,"김포,서울,인천",일반형시내버스
60,선경아파트,복정역환승센터1번승강장,231000033,안성,일반형시내버스
60,선경아파트,복정역환승센터1번승강장,234000316,"광주,성남,수원,용인",일반형시내버스
60,선경아파트,복정역환승센터1번승강장,239000159,가평,일반형농어촌버스
60,선경아파트,복정역환승센터1번승강장,241349004,남양주,마을버스
720-1A,오리역,남한산성입구.양지파출소,204000151,성남,일반형시내버스
810,그린빌리지,수진역.성호시장.성일중고입구,204000174,성남,일반형시내버스
810,그린빌리지,수진역.성호시장.성일중고입구,214000160,평택,일반형시내버스
810,그린빌리지,수진역.성호시장.성일중고입구,241332001,"성남,용인",마을버스
811,도촌9단지후문,수진역.성호시장.성일중고입구,204000173,성남,일반형시내버스
누리1,성남시장례문화사업소,쇳골마을.궁내동톨게이트,204000145,성남,일반형시내버스
누리2,사송동종점,국군수도병원,204000146,성남,일반형시내버스
누리3,뫼루니육교,럭키타운,204000147,성남,일반형시내버스
누리4,사송동.종점,동원동,204000155,성남,일반형시내버스
