순번,관할관청,운행업체,노선번호,기점,종점,인가거리,인가대수,출퇴근배차,평일배차,주말배차,주중상행첫차,주중상행막차,주말상행첫차,주말상행막차,주중하행첫차,주중하행막차,주말하행첫차,주말하행막차,비고
180,화성시,대원고속,M4108,나루마을.월드반도,서울역버스환승센터(6번승강장)(중),99.7,5,25,45,05:00,22:50,05:00,22:50,06:00,00:00,06:00,00:00,,
181,화성시,화성여객,M4130,호수자이파밀리에.아이원,서울역버스환승센터(6번승강장)(중),102.3,5,30,35,05:00,23:00,05:00,23:00,06:10,00:10,06:10,00:10,,
182,화성시,화성여객,M4137,아이파크.호수부영4차,서울역버스환승센터(6번승강장)(중),104.7,5,25,35,05:00,23:00,05:00,23:00,06:10,00:10,06:10,00:10,,
183,화성시,대원고속,M4403,나루마을.월드반도,강남역티월드,80.5,3,20,35,05:20,23:15,05:20,23:15,06:00,00:00,06:00,00:00,,
184,화성시,화성여객,M4434,호수자이파밀리에.아이원,신분당선강남역(중),83.1,10,50,60,05:20,23:10,05:20,23:10,06:00,23:55,06:00,23:55,,
185,화성시,화성여객,M4448,아이파크.호수부영4차,신분당선강남역(중),85.5,20,40,40,05:10,22:40,05:10,22:40,06:40,00:10,06:40,00:10,,
186,화성시,화성여객,M4449,한신대입구사거리,신분당선강남역(중),93.4,35,50,60,05:10,22:40,05:10,22:40,06:20,23:50,06:20,23:50,,
187,용인시,경남여객,M4455,초당역(경유),서초동예술의전당,88.3,18,25,40,05:30,23:00,05:30,23:00,06:30,00:00,06:30,00:00,,
188,수원시,경기고속,M5107,경희대차고지(경유),서울역버스환승센터(6번승강장)(중),92.2,0,12,14,05:00,23:00,05:00,23:00,06:00,00:00,06:00,00:00,,
189,수원시,경기고속,M5115,상현역,서울역버스환승센터(6번승강장)(중),97.8,20,40,60,05:10,22:50,05:10,22:50,06:10,23:50,06:10,23:50,,
190,수원시,경기고속,M5121,삼성전자중앙문,서울역버스환승센터(6번승강장)(중),98.4,7,30,40,05:10,22:40,05:10,22:40,06:10,23:40,06:10,23:40,,
191,광주시,대원고속,M5342,수원버스터미널,잠실광역환승센터,85.8,20,40,60,05:00,22:20,05:00,22:20,06:00,23:40,06:00,23:40,,
192,수원시,대원고속,M5422,삼성전자중앙문,강남역나라빌딩앞,75,20,50,60,05:00,23:00,05:00,23:00,05:40,23:40,05:40,23:40,,
193,평택시,대원고속,M5438,평택지제역,신분당선강남역(중),119.1,10,40,30,05:30,23:05,05:30,23:05,06:50,00:20,06:50,00:20,,
194,오산시,용남버스,M5532,갈곶리삼거리(경유),사당역4번출구,112.6,40,50,80,05:00,22:50,05:00,22:50,06:00,00:00,06:00,00:00,,
197,성남시,성남시내버스,누리3,차고지출발(경유),럭키타운,42.4,17,27,33,05:00,22:00,05:00,22:00,06:00,23:00,06:00,23:00,,
