순번,관할관청,운행업체,노선번호,기점,종점,인가거리,인가대수,출퇴근배차,평일배차,주말배차,주중상행첫차,주중상행막차,주말상행첫차,주말상행막차,주중하행첫차,주중하행막차,주말하행첫차,주말하행막차,비고
79,하남시,경기상운,38,상산곡동.공영차고지,복정역환승센터1번승강장,51,11,25,30,05:00,22:00,05:00,22:00,05:50,23:15,05:50,23:15,,
81,광주시,대원고속,3800,관음3교,양재역.서초문화예술회관(중),90.7,20,45,50,05:30,21:30,05:30,21:30,07:00,23:00,07:00,23:00,,
84,수원시,성우운수,4000,수원남부버스공영차고지,사송동종점,74.9,30,65,75,04:50,21:40,04:50,21:40,06:10,23:00,06:10,23:00,,
85,용인시,경남여객,4101,한숲3단지,숭례문,137.3,15,35,60,05:00,00:00,05:00,23:20,06:40,01:30,06:40,01:30,,
87,화성시,화성여객,4108,나루마을.월드반도,서울역버스환승센터(6번승강장)(중),99.7,25,50,50,05:20,22:40,05:20,22:40,06:10,23:40,06:10,23:40,,
88,안성시,평택버스,4401,한경국립대학교,신분당선강남역(중),145.5,10,40,45,05:00,22:30,05:00,22:30,06:20,23:40,06:20,23:40,,
89,안성시,대원고속,4402,동아방송예술대학교시외버스정류장,양재역.서초문화예술회관(중),171,15,40,50,05:00,22:00,05:00,22:00,06:30,23:20,06:30,23:20,,
90,화성시,화성여객,4403,나루마을.월드반도,강남역티월드,80.5,15,20,30,05:30,22:50,05:30,22:50,06:20,23:50,06:20,23:50,,
92,성남시,성남시내버스,50,차고지대기(경유),복정역환승센터1번승강장,30.9,7,17,22,05:00,22:30,05:00,22:30,05:50,23:25,05:50,23:25,,
93,광주시,대원고속,500-1,동원대학교,잠실광역환승센터,78.5,10,26,30,04:35,22:30,04:35,22:30,05:45,23:45,05:45,23:45,,
94,광주시,경기고속,500-2,동원대학교,무역센터,89.5,15,25,35,04:42,22:25,04:42,22:25,05:55,23:45,05:55,23:45,,
95,용인시,경남여객,5000A,초당주공3단지후문,서울역버스환승센터(5번승강장)(중),103.9,10,25,30,05:30,11:55,05:30,11:55,06:30,13:10,06:30,13:10,,
96,용인시,경남여객,5000B,명지대,서울역버스환승센터(5번승강장)(중),115.3,10,25,30,12:05,23:10,12:05,23:10,13:50,00:20,13:50,00:20,,
97,용인시,경남여객,5001-1A,명지대,신논현역.주류성빌딩,91.7,10,16,21,05:30,11:45,05:30,11:45,06:25,12:55,06:25,12:55,,
98,용인시,경남여객,5001-1B,명지대,신논현역,92.8,10,20,24,12:05,23:00,12:03,23:00,11:56,00:00,12:03,00:00,,
99,용인시,경남여객,5001A,남동차고지,신논현역.주류성빌딩,89.2,10,15,20,05:25,13:00,05:25,12:20,06:30,14:10,06:30,13:30,,
100,용인시,경남여객,5001B,남동차고지,신논현역,90.2,10,15,0,13:15,23:00,13:15,23:00,14:25,00:00,14:25,00:00,,
101,용인시,경남여객,5002A,남동차고지,신논현역.주류성빌딩,99.8,10,18,15,05:30,12:44,05:30,12:44,06:20,13:00,06:20,13:00,,
102,용인시,경남여객,5002B,남동차고지,신논현역,102.8,10,20,18,13:00,23:00,13:00,23:00,14:10,00:00,14:10,00:00,,
103,용인시,경남여객,5003A,남동차고지,신논현역.주류성빌딩,100.1,10,15,23,05:10,13:55,05:10,13:36,06:45,15:30,06:45,15:00,,
104,용인시,경남여객,5003B,남동차고지,신논현역,101.2,10,15,25,14:10,23:15,14:00,23:15,15:45,00:30,15:35,00:30,,
105,용인시,경남여객,5005,명지대,서울역버스환승센터(5번승강장)(중),114.9,10,18,26,05:30,23:00,05:30,23:00,06:50,00:10,06:50,00:10,,
106,용인시,대원고속,5006,광교차고지,신분당선강남역(중),75.4,15,25,30,05:10,23:00,05:10,23:00,05:55,23:50,05:55,23:50,,
107,용인시,대원고속,5007,광교차고지,서울역버스환승센터(5번승강장)(중),96.6,10,30,40,05:10,22:40,05:10,22:40,06:10,23:40,06:10,23:40,,
109,수원시,용남고속,5100,사색의광장,신분당선강남역(중),74.4,6,20,22,05:30,00:10,05:30,23:20,06:10,01:00,06:10,00:00,,
110,광주시,대원고속,520,구미동차고지앞,강남cc,31.5,15,20,35,05:00,23:00,05:00,23:00,05:50,23:50,05:50,23:50,,
111,오산시,용남버스,5200,용남고속차고지,KCC사옥,114.2,40,80,80,05:30,22:30,05:30,22:30,06:30,23:30,06:30,23:30,,
112,광주시,대원고속,521,퉁점골,판교역.낙생육교.현대백화점,23.8,15,30,30,05:50,21:40,06:00,21:40,06:50,22:40,06:50,22:40,,
113,광주시,대원고속,522,서현역.AK플라자,현동빌라,15,50,60,70,06:30,21:30,06:30,21:30,07:00,22:00,07:00,22:00,,
114,광주시,대원고속,522-2,소을마을입구,서현역.AK플라자,11.7,25,45,95,07:20,21:30,07:20,21:30,06:45,20:50,06:45,20:50,,
115,오산시,용남버스,5300,용남고속차고지,신논현역.인터파크,105.7,10,20,30,05:20,00:10,05:20,00:10,06:10,01:00,06:10,01:00,,
116,평택시,대원고속,5401,평택지제역,신분당선강남역(중),160.9,10,110,40,05:00,23:00,05:00,23:00,06:40,00:40,06:40,00:40,,
118,용인시,대원고속,5500-2,광교차고지,세종문화회관,86.1,8,25,30,05:10,23:00,05:10,23:00,06:10,00:00,06:10,00:00,,
119,용인시,경남여객,5600,명지대,테크노마트앞.강변역(C),100,8,18,26,05:40,23:00,05:40,23:00,07:05,00:20,07:05,00:20,,
121,용인시,경남여객,5700A,명지대,테크노마트앞.강변역(C),110.6,30,35,35,05:30,08:35,05:30,08:35,07:00,10:20,07:00,10:20,,
122,용인시,경남여객,5700B,명지대,테크노마트앞.강변역(C),112.5,35,45,45,09:15,22:50,09:15,22:50,11:00,00:10,11:00,00:10,,
124,성남시,성남시내버스,60,차고지대기(경유),복정역환승센터1번승강장,43.7,15,25,37,05:00,22:00,05:00,22:00,06:05,23:15,06:05,23:15,,
125,광주시,대원고속,60,광주차고지,수원역.노보텔수원,96.3,15,25,35,05:00,22:50,05:00,22:50,05:00,22:50,05:00,22:50,,
